doc_id,org,title,countries,publication_date,sha256,local_path
accessnow-africa-2023-keepiton-shutdowns,accessnow,"Shrinking Democracy, Growing Violence: Internet Shutdowns in 2023","KE,UG,TZ,ET,RW",2024-05-01,53b6b7efcb8e9334bbe38adf64c3c1af3463f78c542f4b7910fb1f11443a1333,data/raw/accessnow/accessnow-africa-2023-keepiton-shutdowns.pdf
accessnow-africa-2024-keepiton-shutdowns,accessnow,"Emboldened Offenders, Endangered Communities: Internet Shutdowns in 2024","KE,UG,TZ,ET,RW",2025-02-01,19602c14804306c565e00d54356df254e60be66a0ab954f18aab868e14257d81,data/raw/accessnow/accessnow-africa-2024-keepiton-shutdowns.pdf
accessnow-africa-2022-keepiton-shutdowns,accessnow,"Weapons of Control, Shields of Impunity: Internet Shutdowns in 2022","KE,UG,TZ,ET,RW",2023-02-28,5f126c12aa88372559530799a2ecf62b7a46bbc70e8bf565441c9ce0006f6ad0,data/raw/accessnow/accessnow-africa-2022-keepiton-shutdowns.pdf
accessnow-africa-2025-keepiton-shutdowns,accessnow,Rising Repression Meets Global Resistance: Internet Shutdowns in 2025,"KE,UG,TZ,ET,RW",2026-03-01,3e650c3ca82d49b264a178423d0be1d38fee788248d7d6f1df2da5077178626d,data/raw/accessnow/accessnow-africa-2025-keepiton-shutdowns.pdf
cipesa-africa-2024-sifa-elections,cipesa,State of Internet Freedom in Africa 2024: Technology and Elections,"KE,UG,TZ,ET,RW",2024-10-01,17734c34da5c317c699a774c23062fa5476e0a570613d1973c3c2d126c445f8b,data/raw/cipesa/cipesa-africa-2024-sifa-elections.pdf
cipesa-africa-2025-sifa-ai,cipesa,State of Internet Freedom in Africa 2025: Navigating the Implications of AI on Digital Democracy in Africa,"KE,UG,ET,RW",2025-09-01,5a6e1aa0ef024eacd7805f86fdc036d90dc8d04f291cbe6bf82ab771415bd498,data/raw/cipesa/cipesa-africa-2025-sifa-ai.pdf
freedomhouse-ke-2024-fotn,freedomhouse,Kenya: Freedom on the Net 2024 Country Report,KE,2024-10-01,62439f4b82730d16b833a7d886895756b9f2928d05388f312e0a629dc8f6baa2,data/raw/freedomhouse/freedomhouse-ke-2024-fotn.html
freedomhouse-ug-2024-fotn,freedomhouse,Uganda: Freedom on the Net 2024 Country Report,UG,2024-10-01,3a2c15f45a3cd5abb0ceb00570593334d4c43a7d3faf1af4867b44ede288e656,data/raw/freedomhouse/freedomhouse-ug-2024-fotn.html
freedomhouse-et-2024-fotn,freedomhouse,Ethiopia: Freedom on the Net 2024 Country Report,ET,2024-10-01,d77bcf20e23859f4d386b827c0263e092fd2f0c67bc7e3d3b676191f01ebf1ac,data/raw/freedomhouse/freedomhouse-et-2024-fotn.html
freedomhouse-rw-2024-fotn,freedomhouse,Rwanda: Freedom on the Net 2024 Country Report,RW,2024-10-01,0a2546ee89489cccfbe8f0079bdda58f5d9a519601479c957dd9b93dd79d3016,data/raw/freedomhouse/freedomhouse-rw-2024-fotn.html
